batch,action_idx,action,Q,W
56800,18,"('expedition', 0, 0)",,
57000,0,"('wait', 0, 0)",-11.686424255371094,-44.67304229736328
57000,1,"('wait', 0, 1)",-8.875274658203125,-31.713743209838867
57000,2,"('wait', 0, 2)",-8.67002010345459,-31.04601287841797
57000,3,"('wait', 1, 0)",-9.635988235473633,-36.163902282714844
57000,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
57000,5,"('wait', 1, 2)",-6.391299724578857,-19.200807571411133
57000,6,"('wait', 2, 0)",-9.549116134643555,-39.69799041748047
57000,7,"('wait', 2, 1)",-6.782166481018066,-25.397045135498047
57000,8,"('wait', 2, 2)",-5.224078178405762,-11.572885513305664
57000,9,"('hunt', 0, 0)",-12.041736602783203,-44.98283004760742
57000,10,"('hunt', 0, 1)",-8.672375679016113,-29.63509178161621
57000,11,"('hunt', 0, 2)",-8.525028228759766,-29.835554122924805
57000,12,"('hunt', 1, 0)",-9.330886840820312,-34.21841049194336
57000,13,"('hunt', 1, 1)",-5.8494648933410645,-15.62696361541748
57000,14,"('hunt', 1, 2)",-6.025493144989014,-16.751995086669922
57000,15,"('hunt', 2, 0)",-9.080423355102539,-37.34146499633789
57000,16,"('hunt', 2, 1)",-6.950850009918213,-24.742996215820312
57000,17,"('hunt', 2, 2)",-4.29397439956665,-7.791201591491699
57000,18,"('expedition', 0, 0)",,
57200,0,"('wait', 0, 0)",-11.701354026794434,-44.689788818359375
57200,1,"('wait', 0, 1)",-8.909704208374023,-31.789621353149414
57200,2,"('wait', 0, 2)",-8.67002010345459,-31.04601287841797
57200,3,"('wait', 1, 0)",-9.661648750305176,-36.241981506347656
57200,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
57200,5,"('wait', 1, 2)",-6.391299724578857,-19.200807571411133
57200,6,"('wait', 2, 0)",-9.549116134643555,-39.69799041748047
57200,7,"('wait', 2, 1)",-6.78586483001709,-25.4023380279541
57200,8,"('wait', 2, 2)",-5.224353790283203,-11.573907852172852
57200,9,"('hunt', 0, 0)",-12.041736602783203,-44.98283004760742
57200,10,"('hunt', 0, 1)",-8.676719665527344,-29.615644454956055
57200,11,"('hunt', 0, 2)",-8.529403686523438,-29.818876266479492
57200,12,"('hunt', 1, 0)",-9.330886840820312,-34.21841049194336
57200,13,"('hunt', 1, 1)",-5.852198123931885,-15.62612247467041
